rank,trial_id,trial_source,best_iteration,search_metric,search_score,val_mae,val_rmse,val_mape,val_r2,learning_rate,num_leaves,max_depth,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,lambda_l1,lambda_l2,min_gain_to_split
1,9,random_search,393,mae,3.2483938037184914,3.2483938037184914,4.205809106580103,5.4596125885351885,0.892742247536112,0.02,255,8,40,0.7,1.0,3,0.1,0.0,0.1
2,4,random_search,242,mae,3.2702878762826546,3.2702878762826546,4.225669960712431,5.487069586550146,0.8917268613139916,0.03,255,-1,100,0.7,1.0,5,1.0,1.0,0.0
3,2,random_search,637,mae,3.2741061548189796,3.2741061548189796,4.228655158423088,5.492999368235681,0.8915738295363379,0.02,63,-1,60,0.7,1.0,0,0.0,5.0,0.1
4,5,random_search,1482,mae,3.2759596402399613,3.2759596402399613,4.233393435559034,5.515761276316461,0.8913307068130907,0.01,31,12,60,0.8,1.0,3,0.0,2.0,0.01
5,10,random_search,399,mae,3.275961070632785,3.275961070632785,4.244781977095721,5.505207088458356,0.8907452429605884,0.03,63,8,60,1.0,0.7,5,0.0,2.0,0.05
6,0,baseline,290,mae,3.2815428253946965,3.2815428253946965,4.233121693580216,5.506234193597885,0.8913446573525099,0.03,63,-1,40,0.8,0.8,1,0.0,1.0,0.0
7,6,random_search,313,mae,3.2816707027110423,3.2816707027110423,4.239648099986524,5.5193723341500736,0.8910093607913839,0.05,31,10,100,0.7,0.9,0,0.5,1.0,0.1
8,1,random_search,220,mae,3.288541526844786,3.288541526844786,4.254066917336813,5.514186086347858,0.8902667574413791,0.05,63,10,60,0.8,0.9,3,0.0,0.0,0.01
9,7,random_search,575,mae,3.2926456714617123,3.2926456714617123,4.253229909877135,5.542676641795784,0.8903099342454421,0.03,31,10,20,0.7,0.8,0,0.5,2.0,0.05
10,3,random_search,887,mae,3.2981564216175534,3.2981564216175534,4.261640488553398,5.541380625124744,0.8898756905737548,0.02,31,10,20,1.0,0.8,1,1.0,0.5,0.1
11,8,random_search,152,mae,3.3036387890168695,3.3036387890168695,4.28697792655455,5.54754071268791,0.888562317195042,0.08,63,-1,60,1.0,0.9,3,0.5,5.0,0.0
